year,month,rf,rM
2011,7,-.000028,-.022534
2011,8,0.000083,-.057564
2011,9,-.000001,-.084983
2011,10,0.000014,0.114146
2011,11,0.000004,-.006270
2011,12,0.000000,0.003676
2012,1,-.000002,0.054106
2012,2,0.000031,0.041225
2012,3,0.000046,0.024020
2012,4,0.000029,-.006829
2012,5,0.000065,-.065590
2012,6,0.000022,0.038151
2012,7,0.000032,0.010307
2012,8,0.000050,0.026317
2012,9,0.000067,0.026513
2012,10,0.000037,-.014055
2012,11,0.000085,0.006217
2012,12,0.000103,0.012569
2013,1,0.000022,0.054142
2013,2,0.000054,0.008282
2013,3,0.000041,0.035295
2013,4,0.000037,0.014939
2013,5,0.000012,0.019128
2013,6,0.000013,-.015072
2013,7,0.000009,0.052658
2013,8,0.000009,-.025750
2013,9,0.000008,0.037497
2013,10,0.000017,0.039889
2013,11,0.000032,0.024956
2013,12,0.000023,0.026140
2014,1,0.000012,-.030020
2014,2,0.000045,0.046198
2014,3,0.000028,0.004540
2014,4,0.000015,0.001573
2014,5,0.000008,0.020254
2014,6,0.000020,0.027973
2014,7,0.000013,-.020555
2014,8,0.000003,0.040205
2014,9,0.000004,-.025196
2014,10,0.000012,0.021164
2014,11,-.000001,0.021104
2014,12,0.000005,-.003659
2015,1,0.000013,-.027163
2015,2,-.000021,0.055915
2015,3,-.000008,-.010397
2015,4,0.000029,0.008766
2015,5,-.000005,0.010277
2015,6,0.000004,-.019231
2015,7,-.000037,0.012108
2015,8,0.000027,-.059926
2015,9,-.000006,-.033756
2015,10,-.000027,0.073937
2015,11,0.000020,0.002404
2015,12,0.000103,-.022209
2016,1,0.000037,-.057085
2016,2,0.000205,0.000620
2016,3,0.000190,0.070491
2016,4,0.000051,0.011718
2016,5,0.000115,0.014340
2016,6,0.000188,0.002947
2016,7,0.000171,0.038815
2016,8,0.000165,0.002800
2016,9,0.000219,0.003013
2016,10,0.000168,-.021544
2016,11,0.000136,0.040488
2016,12,0.000239,0.018763
2017,1,0.000358,0.022153
2017,2,0.000364,0.032598
2017,3,0.000353,0.002062
2017,4,0.000537,0.009655
2017,5,0.000614,0.009335
2017,6,0.000617,0.009571
2017,7,0.000722,0.020277
2017,8,0.000827,0.001600
2017,9,0.000944,0.023729
2017,10,0.000840,0.019275
2017,11,0.000826,0.027231
2017,12,0.000884,0.012122
2018,1,0.001121,0.050577
2018,2,0.001073,-.039455
2018,3,0.000261,-.018421
2018,4,0.001433,0.004679
2018,5,0.001401,0.026146
2018,6,0.001408,0.005359
2018,7,0.001558,0.031573
2018,8,0.001575,0.030233
2018,9,0.001490,0.000425
2018,10,0.001890,-.074045
2018,11,0.001795,0.018512
2018,12,0.001930,-.089890
2019,1,0.001920,0.088294
2019,2,0.001809,0.032724
2019,3,0.001935,0.012962
2019,4,0.002125,0.037893
2019,5,0.001983,-.061679
2019,6,0.001853,0.067279
2019,7,0.001783,0.011854
2019,8,0.001908,-.020339
2019,9,0.001787,0.016033
2019,10,0.001531,0.019257
2019,11,0.001197,0.034999
2019,12,0.001431,0.028489
2020,1,0.001164,-.001728
2020,2,0.001208,-.077918
2020,3,0.001268,-.141733
2020,4,0.000003,0.129674
2020,5,0.000059,0.053739
2020,6,0.000111,0.025299
2020,7,0.000096,0.055531
2020,8,0.000079,0.068442
2020,9,0.000076,-.035056
2020,10,0.000073,-.020178
2020,11,0.000066,0.123707
2020,12,0.000060,0.045048
2021,1,0.000046,-.000631
2021,2,0.000045,0.029196
2021,3,0.000027,0.030573
2021,4,0.000014,0.048190
2021,5,0.000005,0.007092
2021,6,0.000004,0.023422
2021,7,0.000031,0.011828
2021,8,0.000049,0.027146
2021,9,0.000033,-.042243
2021,10,0.000037,0.064651
2021,11,0.000044,-.018350
2021,12,0.000067,0.033341
2022,1,0.000044,-.059822
2022,2,0.000028,-.021838
2022,3,0.000060,0.030506
2022,4,0.000037,-.089387
2022,5,0.000307,-.002113
2022,6,0.000567,-.083998
2022,7,0.000812,0.090351
2022,8,0.001901,-.036233
2022,9,0.001929,-.091323
2022,10,0.002327,0.077394
2022,11,0.002856,0.052354
2022,12,0.003379,-.057119
2023,1,0.003506,0.071823
2023,2,0.003450,-.024666
2023,3,0.003638,0.023950
2023,4,0.003640,0.008976
2023,5,0.003662,0.000708
2023,6,0.004078,0.066183
2023,7,0.004391,0.035624
2023,8,0.004537,-.020605
2023,9,0.004267,-.047390
2023,10,0.004715,-.028867
2023,11,0.004424,0.092057
2023,12,0.004266,0.053468
